ID,Data,Equipamento,Setor,Tipo de Manutenção,Descrição do Problema,Ação Executada,Técnico Responsável,Tempo de Parada (h),Custo (R$),Status
1,2024-02-27,Compressor de Ar,Soldagem,Preventiva,Falha detectada no compressor de ar durante operação normal.,Preventiva realizada por Ana Souza para corrigir o problema.,Ana Souza,2.6,11178.83,Pendente
2,2024-10-06,Esteira Transportadora,Pintura,Preventiva,Falha detectada no esteira transportadora durante operação normal.,Preventiva realizada por Carlos Silva para corrigir o problema.,Carlos Silva,0.8,3670.25,Pendente
3,2024-01-14,Sistema de Refrigeração,Caldeira,Preditiva,Falha detectada no sistema de refrigeração durante operação normal.,Preditiva realizada por Rafael Costa para corrigir o problema.,Rafael Costa,7.2,6583.04,Em andamento
4,2024-05-22,Compressor de Ar,Montagem,Corretiva,Falha detectada no compressor de ar durante operação normal.,Corretiva realizada por Rafael Costa para corrigir o problema.,Rafael Costa,4.5,4529.13,Concluída
5,2024-06-21,Esteira Transportadora,Produção,Preventiva,Falha detectada no esteira transportadora durante operação normal.,Preventiva realizada por Carlos Silva para corrigir o problema.,Carlos Silva,3.9,5487.36,Em andamento
6,2024-01-23,Ventilador Industrial,Pintura,Corretiva,Falha detectada no ventilador industrial durante operação normal.,Corretiva realizada por Marcos Lima para corrigir o problema.,Marcos Lima,1.2,4751.09,Pendente
7,2024-07-04,Gerador Diesel,Caldeira,Preditiva,Falha detectada no gerador diesel durante operação normal.,Preditiva realizada por Carlos Silva para corrigir o problema.,Carlos Silva,0.9,3804.52,Em andamento
8,2024-02-10,Bomba Hidráulica,Montagem,Corretiva,Falha detectada no bomba hidráulica durante operação normal.,Corretiva realizada por Marcos Lima para corrigir o problema.,Marcos Lima,3.1,9717.42,Em andamento
9,2024-03-24,Torno CNC,Manutenção,Corretiva,Falha detectada no torno cnc durante operação normal.,Corretiva realizada por Rafael Costa para corrigir o problema.,Rafael Costa,3.0,14081.49,Pendente
10,2024-02-06,Gerador Diesel,Soldagem,Corretiva,Falha detectada no gerador diesel durante operação normal.,Corretiva realizada por Fernanda Alves para corrigir o problema.,Fernanda Alves,7.4,2869.34,Em andamento
11,2024-05-18,Sistema de Refrigeração,Caldeira,Preditiva,Falha detectada no sistema de refrigeração durante operação normal.,Preditiva realizada por João Pereira para corrigir o problema.,João Pereira,8.5,11752.0,Concluída
12,2024-01-17,Torno CNC,Embalagem,Preventiva,Falha detectada no torno cnc durante operação normal.,Preventiva realizada por Carlos Silva para corrigir o problema.,Carlos Silva,2.5,14172.19,Pendente
13,2024-06-10,Bomba Hidráulica,Soldagem,Preventiva,Falha detectada no bomba hidráulica durante operação normal.,Preventiva realizada por Marcos Lima para corrigir o problema.,Marcos Lima,8.9,9821.35,Concluída
14,2024-05-15,Motor Elétrico,Caldeira,Preditiva,Falha detectada no motor elétrico durante operação normal.,Preditiva realizada por Fernanda Alves para corrigir o problema.,Fernanda Alves,5.6,11331.7,Em andamento
15,2024-10-25,Prensa Hidráulica,Manutenção,Corretiva,Falha detectada no prensa hidráulica durante operação normal.,Corretiva realizada por Ana Souza para corrigir o problema.,Ana Souza,5.3,1818.19,Concluída
16,2024-02-26,Motor Elétrico,Soldagem,Corretiva,Falha detectada no motor elétrico durante operação normal.,Corretiva realizada por Patrícia Gomes para corrigir o problema.,Patrícia Gomes,7.0,9147.93,Em andamento
17,2024-07-14,Gerador Diesel,Embalagem,Preditiva,Falha detectada no gerador diesel durante operação normal.,Preditiva realizada por João Pereira para corrigir o problema.,João Pereira,9.7,12981.31,Concluída
18,2024-02-28,Sistema de Refrigeração,Montagem,Preventiva,Falha detectada no sistema de refrigeração durante operação normal.,Preventiva realizada por Patrícia Gomes para corrigir o problema.,Patrícia Gomes,6.6,2117.51,Em andamento
19,2024-03-21,Ventilador Industrial,Produção,Preditiva,Falha detectada no ventilador industrial durante operação normal.,Preditiva realizada por Rafael Costa para corrigir o problema.,Rafael Costa,3.0,7758.5,Concluída
20,2024-09-16,Esteira Transportadora,Montagem,Preditiva,Falha detectada no esteira transportadora durante operação normal.,Preditiva realizada por João Pereira para corrigir o problema.,João Pereira,8.5,7861.11,Concluída
21,2024-03-19,Torno CNC,Montagem,Corretiva,Falha detectada no torno cnc durante operação normal.,Corretiva realizada por Fernanda Alves para corrigir o problema.,Fernanda Alves,9.6,13875.29,Concluída
22,2024-06-14,Ventilador Industrial,Produção,Corretiva,Falha detectada no ventilador industrial durante operação normal.,Corretiva realizada por João Pereira para corrigir o problema.,João Pereira,8.8,12559.15,Em andamento
23,2024-05-02,Compressor de Ar,Caldeira,Preditiva,Falha detectada no compressor de ar durante operação normal.,Preditiva realizada por Carlos Silva para corrigir o problema.,Carlos Silva,1.3,7546.86,Concluída
24,2024-09-29,Motor Elétrico,Caldeira,Preditiva,Falha detectada no motor elétrico durante operação normal.,Preditiva realizada por Marcos Lima para corrigir o problema.,Marcos Lima,9.5,2894.34,Pendente
25,2024-08-04,Bomba Hidráulica,Pintura,Preditiva,Falha detectada no bomba hidráulica durante operação normal.,Preditiva realizada por Rafael Costa para corrigir o problema.,Rafael Costa,2.4,5019.89,Pendente
26,2024-07-10,Ventilador Industrial,Pintura,Preventiva,Falha detectada no ventilador industrial durante operação normal.,Preventiva realizada por Carlos Silva para corrigir o problema.,Carlos Silva,2.9,1428.38,Concluída
27,2024-10-10,Bomba Hidráulica,Pintura,Corretiva,Falha detectada no bomba hidráulica durante operação normal.,Corretiva realizada por Carlos Silva para corrigir o problema.,Carlos Silva,1.2,9650.99,Concluída
28,2024-02-04,Compressor de Ar,Montagem,Preventiva,Falha detectada no compressor de ar durante operação normal.,Preventiva realizada por Carlos Silva para corrigir o problema.,Carlos Silva,5.4,4537.92,Em andamento
29,2024-04-19,Sistema de Refrigeração,Caldeira,Preditiva,Falha detectada no sistema de refrigeração durante operação normal.,Preditiva realizada por Fernanda Alves para corrigir o problema.,Fernanda Alves,6.0,4023.46,Em andamento
30,2024-07-27,Bomba Hidráulica,Produção,Corretiva,Falha detectada no bomba hidráulica durante operação normal.,Corretiva realizada por Rafael Costa para corrigir o problema.,Rafael Costa,4.6,6641.89,Em andamento
31,2024-01-28,Esteira Transportadora,Produção,Preventiva,Falha detectada no esteira transportadora durante operação normal.,Preventiva realizada por Rafael Costa para corrigir o problema.,Rafael Costa,3.7,12994.25,Concluída
32,2024-04-08,Bomba Hidráulica,Pintura,Preventiva,Falha detectada no bomba hidráulica durante operação normal.,Preventiva realizada por Ana Souza para corrigir o problema.,Ana Souza,4.5,4538.9,Concluída
33,2024-02-08,Ventilador Industrial,Montagem,Preditiva,Falha detectada no ventilador industrial durante operação normal.,Preditiva realizada por Carlos Silva para corrigir o problema.,Carlos Silva,1.0,14989.6,Concluída
34,2024-02-17,Bomba Hidráulica,Caldeira,Preventiva,Falha detectada no bomba hidráulica durante operação normal.,Preventiva realizada por Marcos Lima para corrigir o problema.,Marcos Lima,5.1,13037.43,Concluída
35,2024-03-25,Prensa Hidráulica,Produção,Preventiva,Falha detectada no prensa hidráulica durante operação normal.,Preventiva realizada por João Pereira para corrigir o problema.,João Pereira,9.3,11884.38,Em andamento
36,2024-08-04,Sistema de Refrigeração,Soldagem,Preditiva,Falha detectada no sistema de refrigeração durante operação normal.,Preditiva realizada por Marcos Lima para corrigir o problema.,Marcos Lima,2.0,4802.26,Concluída
37,2024-10-23,Sistema de Refrigeração,Produção,Preditiva,Falha detectada no sistema de refrigeração durante operação normal.,Preditiva realizada por João Pereira para corrigir o problema.,João Pereira,1.0,8970.58,Pendente
38,2024-09-28,Motor Elétrico,Produção,Preditiva,Falha detectada no motor elétrico durante operação normal.,Preditiva realizada por Carlos Silva para corrigir o problema.,Carlos Silva,8.6,1493.56,Concluída
39,2024-04-30,Prensa Hidráulica,Produção,Preditiva,Falha detectada no prensa hidráulica durante operação normal.,Preditiva realizada por Ana Souza para corrigir o problema.,Ana Souza,6.0,1076.25,Concluída
40,2024-08-02,Gerador Diesel,Pintura,Preditiva,Falha detectada no gerador diesel durante operação normal.,Preditiva realizada por João Pereira para corrigir o problema.,João Pereira,9.4,3461.76,Pendente
41,2024-06-09,Bomba Hidráulica,Manutenção,Preventiva,Falha detectada no bomba hidráulica durante operação normal.,Preventiva realizada por Ana Souza para corrigir o problema.,Ana Souza,6.9,4849.96,Em andamento
42,2024-02-07,Compressor de Ar,Embalagem,Preditiva,Falha detectada no compressor de ar durante operação normal.,Preditiva realizada por Fernanda Alves para corrigir o problema.,Fernanda Alves,10.0,1562.28,Concluída
43,2024-09-16,Forno Industrial,Caldeira,Preventiva,Falha detectada no forno industrial durante operação normal.,Preventiva realizada por Carlos Silva para corrigir o problema.,Carlos Silva,8.9,5858.14,Concluída
44,2024-08-12,Sistema de Refrigeração,Soldagem,Preventiva,Falha detectada no sistema de refrigeração durante operação normal.,Preventiva realizada por Fernanda Alves para corrigir o problema.,Fernanda Alves,9.8,12202.95,Pendente
45,2024-01-05,Sistema de Refrigeração,Manutenção,Preditiva,Falha detectada no sistema de refrigeração durante operação normal.,Preditiva realizada por Carlos Silva para corrigir o problema.,Carlos Silva,9.4,2447.22,Concluída
46,2024-02-24,Sistema de Refrigeração,Caldeira,Preventiva,Falha detectada no sistema de refrigeração durante operação normal.,Preventiva realizada por João Pereira para corrigir o problema.,João Pereira,6.2,10905.38,Concluída
47,2024-05-15,Sistema de Refrigeração,Embalagem,Preventiva,Falha detectada no sistema de refrigeração durante operação normal.,Preventiva realizada por Patrícia Gomes para corrigir o problema.,Patrícia Gomes,1.0,9697.12,Em andamento
48,2024-01-23,Compressor de Ar,Manutenção,Corretiva,Falha detectada no compressor de ar durante operação normal.,Corretiva realizada por Rafael Costa para corrigir o problema.,Rafael Costa,9.8,2842.94,Em andamento
49,2024-10-09,Prensa Hidráulica,Pintura,Corretiva,Falha detectada no prensa hidráulica durante operação normal.,Corretiva realizada por Carlos Silva para corrigir o problema.,Carlos Silva,1.2,13305.04,Concluída
50,2024-10-06,Compressor de Ar,Montagem,Preventiva,Falha detectada no compressor de ar durante operação normal.,Preventiva realizada por Fernanda Alves para corrigir o problema.,Fernanda Alves,5.7,6731.91,Concluída
